4;1929-09-29;13:20;12:53;13:25;8;6;x;""
12:59;21.55;21.7;21.9;21.7
13:29;21.9;21.98;22.13;22.1
13:12;13:29
7;8;8;7;7;6;6;6;6;7;7;7;7;6;6;6;5;
5;5;4;4;5;5;5;4;4;3;2;3;2;2;3;3;2;
2;1;0;0;0;0;0;0;0;0;-1;-1;-2;-1;-1;-2;-2;
-2;-2;-2;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;-1;
-1;0;0;1;1;2;2;1;1;2;2;3;3;3;3;2;1;
1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;2;2;
2;2;3;2;1;1;1;1;2;1;2;2;3;3;4;3;2;
2;1;1;1;1;1;2;2;3;3;2;2;1;2;3;3;3;
3;2;2;1;1;1;2;3;3;3;2;1;1;1;1;1;1;
1;0;0;0;0;0;0;2;3;2;1;1;1;1;0;1;0;
0;0;1;0;0;0;1;1;1;0;0;0;1;2;3;2;2;
2;1;0;0;-1;0;0;0;1;0;0;-1;-1;-1;-1;-1;-1;
-1;-1;-1;-1;-1;-1;-2;-1;-1;-1;-1;-1;-1;-1;-1;0;-1;
-1;-1;-2;-2;-1;-2;-2;-2;-2;-3;-3;-3;-2;-2;-1;-1;-1;
-1;-2;-1;-1;-2;-2;-2;-3;-3;-3;-4;-4;-4;-4;-3;-3;-4;
-4;-5;-5;-5;-5;-5;-4;-4;-4;-5;-5;-5;-5;-5;-4;-4;-4;
-4;-5;-5;-4;-3;-3;-3;-2;-2;-3;-3;-3;-4;-4;-4;-4;-4;
-4;-4;-4;-4;-4;-3;-3;-3;-3;-4;-4;-3;-3;-2;-2;-2;-2;
-2;-3;-3;-3;-4;-4;-4;-4;-4;-5;-5;-5;-5;-5;-5;-4;-4;
-4;-4;-3;-3;-3;-2;-2;-2;-3;-4;-4;-4;-4;-4;-4;-4;-5;
-5;-5;-5;-5;-5;-4;-3;-3;-4;-4;-5;-5;-5;-4;-4;-4;-4;
